Opportunity ID #;OG;Industry Segment;ToW;Closed Quarter;IC  -  Net Revenue;MC  -  Net Revenue;SC  -  Net Revenue;SI  -  Net Revenue;TC  -  Net Revenue;AO  -  Net Revenue;BPO  -  Net Revenue;IO  -  Net Revenue;Responsible Business Entity;Contract Extension Flag;Software Delivery;Client Location
10564077;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10564079;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10564081;Products;PD Travel;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10564100;Health & Public Service;H&PS Citizen Service;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Belgium
10564113;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10564141;Health & Public Service;H&PS Citizen Service;O;FY16Q3;S;S;S;S;S;M;S;S;Technology;N;N;France
10564149;Health & Public Service;H&PS Citizen Service;O;FY16Q4;S;S;S;S;S;M;S;S;Technology;N;N;Belgium
10564176;Financial Services;FS Insurance;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;Netherlands
10564221;Resources;RS Nat Res;C;FY16Q4;S;S;S;S;S;S;S;S;Strategy;Y;N;Belgium
10564245;Communications, Media & Technology;CMT E&HT;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10564325;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;M;S;S;S;S;Technology;Y;Y;France
10564356;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;Netherlands
10564372;Resources;RS Energy;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;France
10564389;Financial Services;FS Insurance;O;FY16Q4;S;S;S;S;S;S;M;S;Operations;N;N;France
10564395;Resources;RS Energy;C;FY16Q3;S;S;S;S;S;S;S;S;Digital;Y;N;Netherlands
10564402;Financial Services;FS Banking;C;FY16Q4;S;S;S;M;S;S;S;S;OG;N;N;France
10564409;Resources;RS Energy;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10564412;Financial Services;FS Banking;O;FY16Q4;S;S;S;S;S;S;S;S;Technology;Y;N;Netherlands
10564416;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;France
10564417;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;France
10564421;Products;PD Con Goods & Srvcs;C;FY16Q4;S;M;S;S;S;S;S;S;OG;N;N;France
10564433;Financial Services;FS Insurance;C;FY16Q4;S;S;S;S;S;S;S;S;Digital;N;N;France
10564452;Financial Services;FS Capital Markets;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10564469;Resources;RS Util;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Belgium
10564479;Communications, Media & Technology;CMT E&HT;CO;FY16Q4;S;S;S;S;S;S;S;S;Operations;N;N;France
